,Course Code,Average Grade
0,AE 152,7.58994708994709
1,AE 153,7.615384615384615
2,AE 219,9.16
3,AE 223,7.01186943620178
4,AE 225,6.546153846153846
5,AE 227,6.5905044510385755
6,AE 308,7.11214953271028
7,AE 326,7.0474683544303796
8,AE 330,7.03125
9,AE 333,6.783870967741936
10,AE 407,6.4072847682119205
11,AE 410,6.8283828382838285
12,AE 419,9.7
13,AE 484,7.6063829787234045
14,AE 493,9.863636363636365
15,AE 616,8.098039215686274
16,AE 641,7.566037735849057
17,AE 651,6.613545816733068
18,AE 673,7.215909090909091
19,AE 682,7.45
20,AE 694,9.172413793103448
21,AE 695,7.611111111111111
22,AE 705,8.389078498293514
23,AE 707,7.71830985915493
24,AE 708,7.411111111111111
25,AE 709,5.701754385964913
26,AE 711,7.0
27,AE 715,6.5344827586206895
28,AE 720,7.5
29,AE 726,7.352112676056338
30,AE 775,7.887096774193548
31,AE 780,7.283018867924528
32,AE 305,7.612307692307692
33,AE 312,8.37
34,AE 650,9.5
35,AE 656,6.153846153846154
36,AES802,9.5
37,BB 421,8.581395348837209
38,BB 553,8.850931677018634
39,BB 603,8.581749049429657
40,BB 619,8.447619047619048
41,BB 627,7.8125
42,BB 633,7.5225225225225225
43,BB 663,8.264150943396226
44,BB 665,8.418367346938776
45,BB 673,7.602941176470588
46,BB 679,8.27450980392157
47,BB 701,9.337662337662337
48,BBS801,9.163934426229508
49,BB 412,8.794642857142858
50,BB 503,8.706896551724139
51,BB 694,9.137254901960784
52,CE 223,7.450346420323326
53,CE 231,7.654676258992806
54,CE 233,8.559566787003611
55,CE 324,6.786848072562358
56,CE 329,8.131578947368421
57,CE 403,7.038461538461538
58,CE 463,7.026666666666666
59,CE 482,6.794797687861272
60,CE 484,6.99601593625498
61,CE 494,9.487804878048781
62,CE 603,7.531746031746032
63,CE 605,7.660079051383399
64,CE 611,7.333333333333333
65,CE 616,7.247863247863248
66,CE 623,8.050420168067227
67,CE 626,8.794117647058824
68,CE 627,8.383177570093459
69,CE 630,7.583333333333333
70,CE 641,8.666666666666666
71,CE 643,8.11111111111111
72,CE 653,8.065217391304348
73,CE 675,8.98076923076923
74,CE 680,8.3125
75,CE 681,8.790322580645162
76,CE 701,6.954545454545454
77,CE 703,8.11111111111111
78,CE 705,7.818181818181818
79,CE 712,8.011363636363637
80,CE 713,6.835051546391752
81,CE 717,7.632911392405063
82,CE 720,6.45
83,CE 727,6.946666666666666
84,CE 729,7.181818181818182
85,CE 731,7.583333333333333
86,CE 740,7.168478260869565
87,CE 742,8.011494252873563
88,CE 751,8.092307692307692
89,CE 764,7.790697674418604
90,CE 766,7.7272727272727275
91,CE 768,8.209302325581396
92,CE 769,8.307692307692308
93,CE 771,7.738636363636363
94,CE 781,7.524590163934426
95,CE 782,7.426470588235294
96,CES801,9.410596026490067
97,CH 105,7.052821128451381
98,CH 107,7.434204275534442
99,CH 223,6.771739130434782
100,CH 225,7.271186440677966
101,CH 227,5.6
102,CH 229,7.25531914893617
103,CH 397,9.285714285714286
104,CH 401,6.865671641791045
105,CH 403,7.3791208791208796
106,CH 405,6.945244956772334
107,CH 425,7.629518072289157
108,CH 507,8.339805825242719
109,CH 521,8.007575757575758
110,CH 546,7.87719298245614
111,CH 547,8.37007874015748
112,CH 584,8.40625
113,CH 591,9.28125
114,CH 593,9.313432835820896
115,CH 595,9.5
116,CH 827,8.788461538461538
117,CHS801,9.052631578947368
118,CH 398,10.0
119,CH 404,7.889570552147239
120,CH 406,7.598765432098766
121,CH 410,8.399317406143345
122,CH 588,8.412280701754385
123,CH 801,8.96774193548387
124,CL 203,5.796636085626911
125,CL 244,5.855731225296442
126,CL 249,6.546583850931677
127,CL 255,6.396551724137931
128,CL 336,7.042253521126761
129,CL 405,6.617753623188406
130,CL 409,6.7933723196881095
131,CL 419,7.075925925925926
132,CL 443,9.227722772277227
133,CL 444,7.490990990990991
134,CL 455,7.5476190476190474
135,CL 491,9.285714285714286
136,CL 601,6.605351170568562
137,CL 602,6.117857142857143
138,CL 605,6.629090909090909
139,CL 665,6.922480620155039
140,CL 684,7.5
141,CL 701,6.3321799307958475
142,CLS801,9.666666666666666
143,CL 246,7.4630872483221475
144,CL 673,8.431818181818182
145,CL 706,7.266666666666667
146,CL 708,7.01010101010101
147,CM 803,7.910112359550562
148,CMS801,8.526315789473685
149,CS 101,7.027405362776025
150,CS 207,6.864550264550265
151,CS 213,6.679230152365678
152,CS 215,7.253077975376197
153,CS 218,7.68792934249264
154,CS 224,6.919902912621359
155,CS 228,7.049079754601227
156,CS 251,8.461977186311787
157,CS 293,7.882993197278911
158,CS 305,8.642066420664207
159,CS 333,7.7477611940298505
160,CS 335,8.269345238095237
161,CS 337,7.943939393939394
162,CS 341,9.488805970149254
163,CS 347,6.86697247706422
164,CS 396,9.705882352941176
165,CS 433,8.514285714285714
166,CS 475,6.755905511811024
167,CS 485,9.530973451327434
168,CS 490,9.127596439169139
169,CS 492,9.324561403508772
170,CS 601,7.711180124223603
171,CS 604,7.975609756097561
172,CS 618,7.6722689075630255
173,CS 626,7.729216152019003
174,CS 631,7.5964912280701755
175,CS 635,8.503759398496241
176,CS 675,7.095238095238095
177,CS 683,8.877659574468085
178,CS 691,9.32
179,CS 694,9.18452380952381
180,CS 699,7.807933194154488
181,CS 725,7.430441898527005
182,CS 744,7.709219858156028
183,CS 747,7.33261105092091
184,CS 770,7.761904761904762
185,CS 771,8.189655172413794
186,CSS801,9.113636363636363
187,CS 765,8.379562043795621
188,CS 767,7.604651162790698
189,DS 203,7.878048780487805
190,EE 101,7.668639053254438
191,EE 113,7.568
192,EE 204,7.373262032085561
193,EE 207,7.109459459459459
194,EE 224,8.119096509240247
195,EE 229,7.120495495495495
196,EE 301,6.672554347826087
197,EE 451,9.382978723404255
198,EE 491,9.461538461538462
199,EE 601,7.7845303867403315
200,EE 603,7.95850622406639
201,EE 609,8.324712643678161
202,EE 611,7.884393063583815
203,EE 617,8.435897435897436
204,EE 618,7.751152073732719
205,EE 635,7.247191011235955
206,EE 640,6.657657657657658
207,EE 653,7.273381294964029
208,EE 655,6.783132530120482
209,EE 657,7.317073170731708
210,EE 659,7.5568862275449105
211,EE 660,6.777777777777778
212,EE 669,7.197478991596639
213,EE 671,7.3666169895678095
214,EE 675,8.098591549295774
215,EE 679,7.653061224489796
216,EE 691,9.743243243243244
217,EE 694,8.8714859437751
218,EE 703,7.703703703703703
219,EE 720,7.341463414634147
220,EE 721,8.290030211480362
221,EE 723,8.569620253164556
222,EE 733,7.3681592039801
223,EE 748,8.211267605633802
224,EE 759,7.635135135135135
225,EE 781,8.275
226,EE 787,8.606060606060606
227,EE 788,8.428571428571429
228,EE 789,8.48917748917749
229,EES801,9.1
230,EE 309,7.940438871473354
231,EE 338,8.038116591928251
232,EE 492,9.71875
233,EE 602,7.723472668810289
234,EE 613,7.540322580645161
235,EN 203,7.111111111111111
236,EN 207,7.345132743362832
237,EN 209,6.466666666666667
238,EN 211,6.944954128440367
239,EN 301,7.55774647887324
240,EN 309,8.984962406015038
241,EN 313,6.402985074626866
242,EN 315,6.727891156462585
243,EN 317,7.492753623188406
244,EN 401,7.102189781021898
245,EN 406,7.3936170212765955
246,EN 407,7.1911764705882355
247,EN 409,7.0
248,EN 411,7.2835820895522385
249,EN 413,7.184615384615385
250,EN 601,6.6797385620915035
251,EN 602,6.595744680851064
252,EN 606,7.163398692810458
253,EN 613,6.52046783625731
254,EN 618,7.282051282051282
255,EN 639,7.040816326530612
256,EN 691,8.285714285714286
257,EN 694,6.851063829787234
258,EN 703,8.5
259,ENS801,8.64
260,ENS802,9.333333333333334
261,EN 321,7.809523809523809
262,ENT603,8.736928104575163
263,ENT606,8.492436974789916
264,ES 200,8.01439588688946
265,ES 201,6.285714285714286
266,ES 202,7.892857142857143
267,ES 203,7.388888888888889
268,ES 209,8.305882352941177
269,ES 296,6.95
270,ES 301,8.19626168224299
271,ES 303,8.833333333333334
272,ES 307,8.148514851485148
273,ES 315,7.666666666666667
274,ES 317,8.321428571428571
275,ES 319,7.921985815602837
276,ES 321,7.857142857142857
277,ES 401,8.5
278,ES 631,7.2620689655172415
279,ES 633,7.778688524590164
280,ES 635,7.792
281,ES 637,8.21311475409836
282,ES 639,7.385786802030457
283,ES 645,8.204081632653061
284,ES 647,8.30327868852459
285,ES 649,8.243243243243244
286,ES 653,9.035460992907801
287,ES 655,8.45945945945946
288,ES 657,6.1
289,ES 659,6.371428571428571
290,ES 694,7.934426229508197
291,ESS801,9.3125
