Course Code,Average Grade,CBS,nXX,Course Name,Course Type
AE 152,7.58994708994709,2.121302926336554,1,Introduction to Aerospace Engg.,Theory
AE 153,7.615384615384615,1.78552675991023,1,Introduction to Aerospace Engg.,Theory
AE 223,7.01186943620178,2.3952123784230355,2,Thermodynamics and Propulsion,Theory
AE 225,6.546153846153846,1.946052099792203,2,Incompressible Fluid Mechanics,Theory
AE 227,6.590504451038576,2.602818854367892,2,Solid Mechanics,Theory
AE 308,7.11214953271028,3.488139446218877,3,Control Theory,Theory
AE 326,7.04746835443038,1.953503351474886,3,Vibrations and Structural Dynamics,Theory
AE 330,7.03125,1.925951622014786,3,Aerospace Propulsion,Theory
AE 333,6.783870967741936,2.453493878817503,3,Aerodynamics,Theory
AE 407,6.4072847682119205,1.3552503940981868,4,Modelling and Simulation,Theory
AE 410,6.8283828382838285,2.4167518397318544,4,Navigation and Guidance,Theory
AE 484,7.6063829787234045,2.152807533515144,4,Finite Element Method,Theory
AE 616,8.098039215686274,4.17960958851329,6,Gas Dynamics,Theory
AE 641,7.566037735849057,1.8417821199556423,6,Introduction to Navigation and Guidance,Theory
AE 651,6.613545816733068,2.9993482641806537,6,Aerodynamics of Compressors and Turbines,Theory
AE 673,7.215909090909091,3.149396529909124,6,Fiber Reinforced Composites,Theory
AE 682,7.45,1.3357464220355986,6,Introduction to Thermoacoustics,Theory
AE 695,7.611111111111111,2.756918787271933,6,State Space Methods for Flight Vehicles,Theory
AE 705,8.389078498293514,4.010015969095789,7,Introduction to Flight,Theory
AE 707,7.71830985915493,2.2987770939571712,7,Aerodynamics of Aerospace Vehicles,Theory
AE 708,7.411111111111111,1.647206449018549,7,Aerospace Propulsion,Theory
AE 709,5.701754385964913,0.8327510498516607,7,Aerospace Structures,Theory
AE 711,7.0,1.0656626139641707,7,Aircraft Propulsion,Theory
AE 715,6.5344827586206895,1.2108862187401477,7,Structural Dynamics,Theory
AE 720,7.5,1.065442419342647,7,Advanced Numerical Methods for Compressible Flows,Theory
AE 726,7.352112676056338,2.316238137684234,7,Heat Transfer - Aerospace Applications,Theory
AE 775,7.887096774193548,3.078371620894228,7,"System Modelling, Dynamics and Control",Theory
AE 780,7.283018867924528,2.4343246046622267,7,Computational Heat Transfer and Fluid Flow,Theory
AE 305,7.612307692307692,3.307170115994151,3,Flight Mechanics II,Theory
AE 312,8.37,5.012711662661911,3,Aerodynamics Laboratory,Lab
AE 656,6.153846153846154,1.0972963517676362,6,Aviation Fuels and their Combustion,Theory
BB 421,8.581395348837209,6.036726122141024,4,Genetics,Theory
BB 553,8.850931677018634,5.367509527715449,5,Bioinformatics,Theory
BB 603,8.581749049429657,5.944366505633147,6,Physiology for Engineers,Theory
BB 619,8.447619047619048,4.6612686830822,6,Mathematics for Biologists,Theory
BB 627,7.8125,2.4840845252918915,6,Medical Imaging Methods,Theory
BB 633,7.522522522522522,2.4355727764931383,6,Movement Neuroscience,Theory
BB 663,8.264150943396226,4.627676373994192,6,Medical Imaging Physics,Theory
BB 665,8.418367346938776,4.472247365236362,6,Biomaterials,Theory
BB 673,7.602941176470588,1.744033747692885,6,Medical Sensors,Theory
BB 679,8.27450980392157,3.9384567685886753,6,Drug Delivery,Theory
BB 701,9.337662337662335,4.26364853033802,7,Research Proposal,Seminar
BBS801,9.163934426229508,5.842893720134593,8,Seminar,Seminar
BB 412,8.794642857142858,5.48847576980925,4,Genomics and Proteomics,Theory
BB 503,8.706896551724139,3.2185373363253515,5,Genetic Engineering,Theory
BB 694,9.137254901960784,7.442614497847184,6,Seminar,Seminar
CE 223,7.450346420323326,2.72369268590473,2,Fluid Mechanics,Theory
CE 324,6.786848072562358,3.239381018131076,3,Engineering Law,Theory
CE 329,8.131578947368421,5.1625275405029685,3,Geotechnical Engineering Lab I,Lab
CE 403,7.038461538461538,3.2989578007224822,4,Design of Structures III,Theory
CE 463,7.026666666666666,2.743938907017174,4,Probabilistic and Statistical Methods in Civil Eng,Theory
CE 482,6.794797687861272,2.449780753103051,4,Construction Management,Theory
CE 484,6.99601593625498,3.08685660200685,4,Concrete Technology,Theory
CE 494,9.48780487804878,6.399739483970751,4,BTP I,Other Project
CE 603,7.531746031746032,4.158713970028949,6,Numerical Methods,Theory
CE 605,7.660079051383399,3.864461706752138,6,Applied Statistics,Theory
CE 616,7.247863247863248,3.0617470216982743,6,Structural Dynamics,Theory
CE 623,8.050420168067227,4.220174501174295,6,Advanced Solids Mechanics,Theory
CE 626,8.794117647058824,4.514497322539767,6,Groundwater Systems Planning and Management,Theory
CE 627,8.383177570093459,4.545389755858862,6,Structural Design,Lab
CE 630,7.583333333333333,3.618101415165006,6,Geographical Information Systems in Civil Engineering,Theory
CE 641,8.666666666666666,2.561778848039071,6,Environmental Geomechanics,Theory
CE 643,8.11111111111111,2.492644318648997,6,Experimental Geotechnics,Lab
CE 653,8.065217391304348,1.972962330452631,6,Structural Reliability and Risk Analysis,Theory
