,Course Code,F-avg,nXX
0,AE 152,2.121302926336554,1
1,AE 153,1.78552675991023,1
3,AE 223,2.3952123784230355,2
4,AE 225,1.946052099792203,2
5,AE 227,2.6028188543678916,2
6,AE 308,3.488139446218877,3
7,AE 326,1.953503351474886,3
8,AE 330,1.925951622014786,3
9,AE 333,2.453493878817503,3
10,AE 407,1.3552503940981868,4
11,AE 410,2.4167518397318544,4
13,AE 484,2.152807533515144,4
15,AE 616,4.17960958851329,6
16,AE 641,1.8417821199556426,6
17,AE 651,2.9993482641806537,6
18,AE 673,3.1493965299091236,6
19,AE 682,1.3357464220355986,6
21,AE 695,2.756918787271933,6
22,AE 705,4.010015969095789,7
23,AE 707,2.2987770939571712,7
24,AE 708,1.647206449018549,7
25,AE 709,0.8327510498516607,7
26,AE 711,1.0656626139641707,7
27,AE 715,1.2108862187401475,7
28,AE 720,1.065442419342647,7
29,AE 726,2.316238137684234,7
30,AE 775,3.078371620894228,7
31,AE 780,2.4343246046622267,7
32,AE 305,3.307170115994151,3
33,AE 312,5.012711662661911,3
35,AE 656,1.0972963517676362,6
37,BB 421,6.036726122141024,4
38,BB 553,5.367509527715449,5
39,BB 603,5.944366505633147,6
40,BB 619,4.6612686830822,6
41,BB 627,2.4840845252918915,6
42,BB 633,2.4355727764931383,6
43,BB 663,4.627676373994192,6
44,BB 665,4.472247365236362,6
45,BB 673,1.7440337476928853,6
46,BB 679,3.9384567685886753,6
47,BB 701,4.26364853033802,7
48,BBS801,5.842893720134593,8
49,BB 412,5.48847576980925,4
50,BB 503,3.2185373363253515,5
51,BB 694,7.442614497847184,6
52,CE 223,2.72369268590473,2
55,CE 324,3.239381018131076,3
56,CE 329,5.1625275405029685,3
57,CE 403,3.2989578007224822,4
58,CE 463,2.743938907017174,4
59,CE 482,2.449780753103051,4
60,CE 484,3.0868566020068506,4
61,CE 494,6.399739483970751,4
62,CE 603,4.158713970028949,6
63,CE 605,3.864461706752138,6
65,CE 616,3.0617470216982743,6
66,CE 623,4.220174501174295,6
67,CE 626,4.514497322539767,6
68,CE 627,4.545389755858862,6
69,CE 630,3.618101415165006,6
70,CE 641,2.561778848039071,6
71,CE 643,2.492644318648997,6
72,CE 653,1.972962330452631,6
73,CE 675,3.7574911752949176,6
74,CE 680,2.175013247513984,6
75,CE 681,5.720462663419881,6
76,CE 701,1.3602806227191007,7
77,CE 703,1.9827777881639836,7
78,CE 705,1.3805000351105805,7
79,CE 712,3.3461392206923937,7
80,CE 713,2.3913218286391755,7
81,CE 717,3.85855789958218,7
82,CE 720,1.4665795621389226,7
83,CE 727,1.8206396781211842,7
84,CE 729,2.517318375734864,7
85,CE 731,1.9767417124253501,7
86,CE 740,3.8293189678283874,7
87,CE 742,3.900272299440366,7
88,CE 751,4.751592062487737,7
89,CE 764,1.7802078828009087,7
90,CE 766,3.1560658391526593,7
91,CE 768,2.536311901925133,7
92,CE 769,2.2328646306977933,7
93,CE 771,4.434313100291829,7
94,CE 781,1.4682225065084782,7
95,CE 782,1.7951653953754625,7
96,CES801,6.586574717105241,8
97,CH 105,2.1118505912300782,1
98,CH 107,3.2682566933405592,1
99,CH 223,2.4839220919332448,2
100,CH 225,2.858925657175108,2
101,CH 227,1.1888107916492838,2
102,CH 229,3.1964623683235494,2
103,CH 397,2.1468708632026576,3
104,CH 401,2.891616696734416,4
105,CH 403,3.5900456350167125,4
106,CH 405,2.6369900484213775,4
107,CH 425,4.209310481044904,4
108,CH 507,5.4570833795615465,5
109,CH 521,4.690309508325711,5
110,CH 546,3.771139844373116,5
111,CH 547,5.447504380540584,5
112,CH 584,3.9093703337841412,5
113,CH 591,3.7823837286822006,5
114,CH 593,8.677609194209861,5
115,CH 595,3.1011299194152144,5
116,CH 827,4.615246749520621,8
117,CHS801,6.439082003836732,8
118,CH 398,3.1076599170743577,3
119,CH 404,3.653045733403431,4
120,CH 406,3.556614109653098,4
121,CH 410,4.7730469989543085,4
122,CH 588,4.486776303004178,5
123,CH 801,6.279709007600517,8
124,CL 203,1.6661637156865476,2
125,CL 244,0.8445071115403545,2
126,CL 249,2.4311749849741653,2
127,CL 255,1.1596022523403289,2
128,CL 336,1.5073492755434295,3
129,CL 405,1.8589963812664962,4
130,CL 409,1.4374871741577562,4
131,CL 419,2.5867912386083276,4
132,CL 443,7.678430537467738,4
133,CL 444,3.0407652167107933,4
134,CL 455,2.966400807105721,4
135,CL 491,2.07463046772935,4
136,CL 601,2.1983243281660365,6
137,CL 602,3.4553226049772308,6
138,CL 605,2.5655972802954348,6
139,CL 665,3.2957301430422334,6
140,CL 684,2.1159005984068027,6
141,CL 701,1.727293158935165,7
142,CLS801,4.607889756319337,8
145,CL 706,2.160041869187557,7
146,CL 708,2.234023367651649,7
147,CM 803,3.5316997508227694,8
148,CMS801,2.285858492071641,8
149,CS 101,3.103468472293587,1
150,CS 207,1.8225689676338475,2
151,CS 213,1.8251715069391143,2
152,CS 215,2.6010480542424625,2
153,CS 218,3.1412484000321257,2
154,CS 224,2.673471136594293,2
155,CS 228,2.0452090706291512,2
156,CS 251,5.897923730714023,2
157,CS 293,5.209946942848435,2
159,CS 333,5.2177544092505945,3
160,CS 335,6.146669821603993,3
161,CS 337,4.354640448664407,3
163,CS 347,3.069793819692214,3
164,CS 396,3.5460234866735485,3
165,CS 433,1.9321142336772141,4
166,CS 475,1.8013335043613596,4
167,CS 485,7.149375945929099,4
168,CS 490,7.646613680548554,4
169,CS 492,6.517065807799096,4
170,CS 601,3.035781784452371,6
171,CS 604,2.3326620710222374,6
172,CS 618,3.1218997440672487,6
173,CS 626,3.2561114396531985,6
174,CS 631,2.6645548633239264,6
175,CS 635,5.348980358446456,6
176,CS 675,1.1452253312930176,6
177,CS 683,6.913827363040471,6
178,CS 691,6.7152663190752815,6
179,CS 694,6.132197152780771,6
180,CS 699,3.13597122898369,6
181,CS 725,2.4765002847213724,7
182,CS 744,2.979277505943817,7
183,CS 747,3.328489661707372,7
184,CS 770,2.263474633474721,7
185,CS 771,2.564340158971955,7
186,CSS801,3.474277242101487,8
187,CS 765,5.3913001778533,7
188,CS 767,2.45812857445831,7
189,DS 203,3.6845534149662216,2
190,EE 101,2.920500370949811,1
192,EE 204,2.5591959530329422,2
193,EE 207,2.3164944428572363,2
194,EE 224,4.190854337478804,2
195,EE 229,1.9887458854532403,2
196,EE 301,1.7493776484173946,3
197,EE 451,7.9610381155019985,4
198,EE 491,6.875069122691095,4
199,EE 601,3.4797356997256776,6
200,EE 603,3.3323088401855356,6
201,EE 609,5.286573232671269,6
202,EE 611,3.8723813632229005,6
203,EE 617,3.7658551257610795,6
204,EE 618,3.481232868475046,6
205,EE 635,2.727505039843503,6
206,EE 640,2.2357119680350777,6
207,EE 653,3.428499819823838,6
208,EE 655,2.011867970737651,6
209,EE 657,3.5568176988546094,6
210,EE 659,2.340093759404945,6
211,EE 660,1.7908358429863191,6
212,EE 669,2.2639256049065195,6
213,EE 671,3.2536422453360183,6
214,EE 675,3.6361828489838706,6
215,EE 679,3.6443119448109167,6
216,EE 691,9.350982353598479,6
217,EE 694,7.6639760134564465,6
218,EE 703,2.1944235763106295,7
219,EE 720,3.517861287946277,7
220,EE 721,5.284220178697743,7
221,EE 723,3.9754628997606187,7
222,EE 733,2.784271607632558,7
223,EE 748,4.791821982635716,7
224,EE 759,2.4700465528048046,7
225,EE 781,4.072223146049817,7
227,EE 788,2.8572231629358944,7
228,EE 789,5.866884011482607,7
229,EES801,7.516442374268912,8
230,EE 309,4.305566672670411,3
231,EE 338,3.4664198239755573,3
233,EE 602,3.4318966952641863,6
234,EE 613,3.125374129910061,6
235,EN 203,3.120415522668558,2
236,EN 207,3.059363989189426,2
237,EN 209,1.9593623829660929,2
238,EN 211,2.714425091471484,2
239,EN 301,2.8921222292976534,3
240,EN 309,7.380960134167064,3
241,EN 313,2.135832998818542,3
242,EN 315,2.4468225418626486,3
243,EN 317,2.770743715150444,3
244,EN 401,2.84710315395986,4
245,EN 406,4.148358591237583,4
246,EN 407,2.1602511545137473,4
247,EN 409,1.700816718778602,4
248,EN 411,2.2830432665754965,4
249,EN 413,2.9114763219887716,4
250,EN 601,3.2413727879718683,6
251,EN 602,2.1727087417641706,6
252,EN 606,2.2794098292285336,6
253,EN 613,1.8858151586903789,6
254,EN 618,3.3388195292283283,6
255,EN 639,1.0645548440994,6
258,EN 703,1.4129093263129864,7
259,ENS801,4.661192917714307,8
261,EN 321,0.6846083582266662,3
262,ENT603,5.726249627951729,6
263,ENT606,5.175519647631242,6
264,ES 200,3.8593871878164654,2
265,ES 201,2.1849174533929627,2
266,ES 202,3.2031216295204974,2
267,ES 203,1.7126795682933877,2
268,ES 209,4.005668583575316,2
269,ES 296,0.8619148053461082,2
270,ES 301,4.550274127566401,3
272,ES 307,3.884223921611408,3
273,ES 315,2.9696653029933193,3
274,ES 317,4.9548510735199915,3
275,ES 319,3.1575903946939636,3
276,ES 321,3.585376023588379,3
277,ES 401,1.9209269092528267,4
278,ES 631,4.432459886922241,6
279,ES 633,5.632367842189652,6
280,ES 635,4.318663370461096,6
281,ES 637,5.221017213301837,6
282,ES 639,2.622542873395138,6
283,ES 645,4.510039266421314,6
284,ES 647,6.054795927831965,6
285,ES 649,3.8069506854665893,6
286,ES 653,7.186279038159401,6
287,ES 655,5.093601542460789,6
288,ES 657,1.0963665249934018,6
289,ES 659,1.2878837368744265,6
290,ES 694,4.582238718627591,6
291,ESS801,3.9740986781749976,8
292,ES 208,1.6838787043333492,2
293,ES 302,3.896093489322823,3
294,ES 493,1.4185841839097104,4
295,ES 495,0.9056998735047951,4
296,ES 670,4.566258163838169,6
297,ES 682,2.351802053702474,6
298,ET 601,6.081166042663819,6
299,ET 610,4.463891528530802,6
300,ET 612,5.65419387525647,6
301,ET 613,6.774785349182472,6
303,ET 619,3.615748666124503,6
304,GNR401,2.3952204346942394,4
305,GNR603,4.211653269990541,6
306,GNR605,5.113486055680184,6
307,GNR607,3.4212646975092977,6
308,GNR619,3.6551397668307155,6
309,GNR621,5.0267342179744565,6
310,GNR623,2.3910607691853447,6
311,GNR627,5.26873901499078,6
312,GNR638,5.306813657179135,6
313,GNR653,2.1310098140864424,6
